kyoku,rot,step,dora,tehai
8,2,7,3z,789m355p4678s|7m|7_77z
8,2,4,2m,88m446p34688s444z7p
8,2,7,3z,111m3468p7899s77z7z
8,2,9,3z,66778m23345667p7p
8,2,7,5m,66m2344455p78s77z7z
8,3,7,2z,6678m345p4567s44z4p
8,1,1,2p,24699m57p2468s15z7z
1,3,7,8p,223678m34588p44s6s
1,3,5,5m,344m24566778p78s8s
1,1,6,2s,22334068m78p678s6m
1,1,5,4s,122688m466p2378s6s
1,1,5,8m,11367m446p34668s0m
1,3,6,4m,246m123p2233455s5s
1,3,4,1m,12378m133p12268s8s
1,1,7,5p,237888m234p1234s5p
1,3,7,9m,23499m466p24456s7s
1,1,5,6z,3588m99p45679s66z6z
1,1,9,7p,234667m6p445678s5m
1,2,7,3p,35567p05677788s0p
1,1,3,2m,233m1337p2348s44z2p
1,1,6,7s,22378m56677799s6m
1,3,7,2m,2223478m56p2355s5m
1,3,7,2s,123m23p22334566s3p
1,3,9,9m,34m220667p33066s7s
1,3,3,9m,56m114556p11566s7s
1,3,5,2s,4057m366788p234s5p
1,3,3,4s,579m112267p4456s4m
1,1,4,8p,445m456p4455677s4s
1,1,4,1p,2368m23446p79s77z1p
1,1,7,4m,67m34678p123s|3s|7_77z
1,1,3,9m,789m135689p3305s6s
1,3,6,4m,34468m23478899p5p
1,3,8,8s,33m234589p34789s8p
1,3,7,4p,357m406p3556678s4m
1,3,7,8s,34456m1123p6678s8s
1,1,7,8m,2367m5567p66778s8m
1,3,7,6p,22m45p234456778s1s
1,3,5,3z,4578m678p567789s6m
1,3,7,6p,667m2244566p234s7p
1,1,7,8m,466m3357789p557s8p
1,3,4,3z,2468m2288p24406s7m
1,1,6,5s,345677m344568p3s5s
1,1,4,3m,234577m3345p678s8s
1,1,8,7z,66789m356777s77z2s
1,3,6,8p,222357p1235678s1p
1,1,7,5p,246888m34067p23s4s
1,1,3,9p,2478m24999p1144s6m
1,1,7,7s,33555m2334p2267s1p
1,1,3,1s,23347m3p1223389s9s
1,3,5,5p,34m23345667p223s4m
1,1,7,9m,067m11235677p24s4s
1,1,7,7z,4445799p4579s77z6s
1,3,5,5p,3467p112378899s5p
1,1,5,5m,23778m34p123579s6s
