kyoku,rot,step,dora,tehai
1,3,8,3p,34567m2388p5779s|1p
1,3,8,3p,34567m2388p5779s|4p
1,3,8,3p,34567m2388p5779s|7s
1,1,6,1s,678889m40579p33s|8p
1,1,6,1s,678889m40579p11z|8p
1,3,6,2m,33m223677888p40s|6s
1,1,7,7m,67m34556777p334s|6p
1,1,7,7m,67m34556777p334s|2p
1,3,6,2p,112m223677888p0s|6s
1,1,4,4z,223067m557p2345s|6s
1,1,4,4z,223055677p2345s|6s
1,1,7,8p,556m13345678p22s|3p
1,1,7,7z,66m123334p334s77z|7z
1,1,7,7z,66m233345p233s77z|7z
1,1,7,8s,66m233345p23388s|8s
1,1,5,1s,778m222344p3067s|2s
1,1,5,1s,778m222344p3067s|3s
1,1,5,1s,345m233444p0667s|4m
1,1,8,4z,345688m0667p456s|6s
1,1,7,4z,3445m335678p567s|8s
1,1,7,4z,3455m335678p234s|5s
1,3,7,4z,3405999m556p567s|8s
1,3,7,4z,44789m0678p4066s|0m
1,3,7,4z,344067m3456p406s|3s
1,1,7,4z,5678m3456p78899s|9s
1,1,7,4z,5678m1234p67788s|8s
1,1,7,4z,5678m2345p56677s|7s
1,3,7,4z,678m2344p233567s|8s
1,3,7,4z,789m1123p233567s|8s
1,3,7,4z,789m1123p235677s|8s
1,1,5,4z,5678m224567p677s|7s
1,1,5,4z,5678m224567p777s|8s
1,1,5,4z,4567m335678p688s|8s
1,1,8,2m,7799m2340p234s77z|6p
1,1,8,2m,7799m2340p23477s|6p
1,1,8,2m,7799m23406p2347s|6p
1,1,6,2s,45556p23444577s|4p
1,1,7,1m,3456m3344688p22s|0m
1,1,7,1m,3467m3456688p22s|0m
1,3,8,8s,2345m2335p23488s|8s
1,3,8,8s,3445m2335p23488s|8s
1,1,7,4m,406m233p2233345s|0s
1,1,6,7p,34557p33444566s|0p
1,1,6,7p,34557p22444566s|0p
1,1,6,6s,0556m22307p6888s|4p
1,3,7,2m,5567m2233p56677s|4p
1,3,7,4s,13067m23467p456s|6m
1,3,7,4s,067m234667p4566s|6m
1,3,7,9s,06789m346667p23s|4s
1,3,4,4s,45668m446p34599s|3m
1,3,4,4s,45668m446p345s11z|3m
1,3,7,2s,577m23467p34577s|4m
1,3,7,2s,577m234p2367888s|4m
1,3,7,2s,577m23467p23477s|2s
1,3,7,4p,6667m34p3356678s|7s
1,3,7,4p,6667m34p3346678s|8s
1,3,7,4p,6667m34p3345578s|9s
1,3,7,4z,67m334568p34079s|3p
1,3,7,4z,34m134568p34079s|3p
1,3,7,4z,06m134568p34567s|3p
1,1,5,2s,4489m34779p2346s|7m
1,1,5,2s,4489m34779p2346s|7p
1,1,5,2s,4489m34779p2346s|7s
1,1,7,4z,4556799m3499p45s|6s
1,1,7,4z,455679m3357p456s|6s
1,1,7,4z,455679m33468p45s|6s
1,1,7,6s,6799m23p3446789s|9m
1,1,4,3m,23m1566679p1237s|8s
1,3,7,1s,46777m668p34455s|3m
1,3,7,2m,67m23456799p113s|4s
1,3,7,2m,67m12345677p220s|5m
1,3,7,2m,77m12345688p224s|0s
1,1,7,4m,456m223789p5778s|8s
1,1,7,4m,456m223789p0889s|9s
1,1,7,4m,456m223789p0788s|9s
1,3,7,2p,789m57789p23406s|4p
1,3,7,2p,678m07789p45678s|4p
1,1,5,1m,13345668p77788s|9s
1,3,7,4s,347889m77889p23s|4s
1,3,7,4s,347889m66778p23s|4s
1,3,7,4s,347889m66778p44s|4s
1,3,4,7s,67m34678p112356s|7s
1,3,4,7s,68m34678p112356s|7s
1,3,4,7s,68m56678m112356s|7s
1,3,7,7p,12345678m67p666s|7s
1,3,7,7p,12345678m67p666s|3m
1,3,7,7p,12345678m67p666s|6s
1,1,7,6m,333678m67p34567s|3m
1,1,7,6p,33367m67p666789s|3m
1,1,7,6s,333678m38p66789s|3m
1,3,5,6m,23466m112345p67s|7p
1,3,5,5m,23466m123457p67s|7p
1,2,7,7s,456788p3477s|0s|2_22p
1,1,6,8m,4455678m445p345s|7m
1,1,7,2m,33445667m788p34s|0s
1,3,5,1s,22788m4567788m0s|6s
1,3,7,3s,566789p3445667s|7s
1,3,7,4z,23467m0m4056777s|8s
1,3,7,5m,77m234556778p67s|4p
1,3,5,3s,335m23345667p23s|4m
1,3,5,3s,335m23345667p23s|6m
1,3,5,3s,335m233345667p4s|0s
1,3,5,5m,45m22p345667899s|3p
1,3,5,5p,45m22p345667899s|4p
1,3,5,4z,56m34p112234456s|7s
1,3,7,9m,23456m3406p24s22z|2z
1,3,7,4z,67m2468p3335567s|3p
1,3,7,3p,67m1234p2466678s|9s
1,1,7,1m,2345579p222478s|0p
1,1,7,1m,2345579p237888s|0p
1,1,7,9p,340m12233379p67s|5p
1,1,4,1m,68m1124056p34s77z|7z
1,1,4,1m,68m1124406p34s77z|7m
1,1,4,1m,68m1124456p34s77z|3s
1,1,7,7s,57m225667p13367s|8s
1,1,7,7s,57m225667p13367s|5s
1,1,7,2p,57m22566p123367s|8s
1,2,4,6s,057m24677p12346s|5s
1,2,4,6s,057m24677p12346s|6p
1,1,7,8m,067m13p22334557s|3p
1,3,7,4z,233345m68p23446s|6p
1,3,7,4z,344456m46p23446s|6s
1,3,4,2m,788m234677p7789s|9s
1,1,7,1s,34068m2246p67s77z|4m
1,1,7,1s,34068m2246p67s77z|7z
1,1,7,1s,34068m2246p67s77z|3p
1,3,4,4m,3456m2268p12366s|7s
