kyoku,rot,step,dora,tehai
1,3,4,4m,3456m2268p12366s|8s
1,3,7,4z,234m4588p334456s|8s
1,1,7,1m,44556m135p230s11z|3m
1,3,7,4z,23m122307p45567s|8s
1,3,7,4z,23m122307p45567s|9s
1,1,7,5p,456677p3077s|8s|1_11z
1,1,4,7s,23479m1168p5678s|9s
1,1,4,5s,23479m1157p4067s|8s
1,3,7,2s,224468m5567p234s|3m
1,3,7,2s,224468m5567p234s|3p
1,3,7,6p,23345m2357p2340s|6m
1,1,7,4z,246m234677p2288s|2s
1,1,7,4z,246m234788p3488s|2s
1,1,5,4z,24688m2466p2267s|2s
1,3,7,1m,78m1114099p2246s|9m
1,3,7,1m,78m2344599p2246s|9m
1,3,7,1m,78m2344599p2246s|6m
1,3,5,4z,34m467889p12306s|7s
1,3,5,4z,113m467889p2306s|7s
1,3,5,4z,1134m46789p2406s|7s
1,3,6,8p,12267889m45p355s|0s
1,1,7,4z,334m13556p67889s|2p
1,1,7,4z,34m136667p67889s|2p
1,1,7,1m,12367p566789s77z|6s
1,1,7,1m,12367p566789s77z|8p
1,1,7,1m,12367p566789s77z|8s
1,1,6,1m,30m136667p778s77z|4m
1,1,6,1m,3m1356667p778s77z|4m
1,1,6,1m,30m356667p778s77z|4m
1,1,7,6m,4566m34p23399s77z|7m
1,3,7,6m,4566m34p23388s77z|7m
1,3,7,1m,06m2345566p24s77z|7m
1,3,8,1p,46m56p4566777s77z|4p
1,3,8,1p,46m56p4566777s77z|0p
1,3,8,1p,06m3456677p6677z|7m
1,2,8,2m,2340m055p2379s77z|6p
1,2,5,2p,057m224678p35s77z|7p
1,2,4,3s,567899m799p56s22z|6p
1,3,5,4m,456m224p23488s44z|3s
1,3,8,4m,456m334p23488s44z|3s
1,3,4,4m,45m3578p23466s44z|3p
1,2,7,7z,34578m56p123s|3s|7_77z
1,2,7,7z,56778m06p123s|3s|7_77z
1,2,7,7z,5678m557p123s|3s|7_77z
1,2,7,7z,1358p456778s|4p|7_77z
1,2,7,2z,79m7p1224566s|8m|2_22z
1,1,7,5s,22389p11345s|3p|1_11z
1,1,7,4m,456m2333456p230s|6s
1,1,4,4z,2446m23457p2346s|7s
1,1,4,4z,2446m24567p2346s|7s
1,3,3,1m,79m2345778p6678s|8m
1,1,5,7p,5778m22256p2246s|7s
1,1,9,7p,5578m23357p3456s|6p
1,3,5,1s,78m246789p05578s|9s
1,3,3,2s,12346m246789p24s|8p
1,1,4,8m,78m556779p35577s|8s
1,3,7,4z,3057m3355p34567s|8s
1,3,7,4z,3057m3355p34567s|7p
1,1,7,1m,340m3577p223456s|3p
1,3,6,1s,344m35567p34406s|7s
1,3,6,1s,355m35567p34506s|7s
1,3,6,1s,357m35567p34456s|7s
1,3,7,4z,34567m0577p3466s|3p
1,3,7,3s,23556688m12p123s|7m
1,3,7,4z,5678m445678p307s|7p
1,3,7,3m,3334578m779p799s|6m
1,3,7,3p,3334578m779p799s|9m
1,1,4,1p,356789m577p3346s|4p
1,1,8,2p,79m899p23466789s|0s
1,1,4,4z,8m1306778p22678s|4p
1,1,7,4z,3467m1245679p22s|0m
1,1,7,2m,66m123440679p33s|4s
1,1,7,2m,66m123440679p44s|6s
1,1,7,2m,68m12306899p113s|4s
1,1,1,9p,4m234567889p578s|9s
1,3,8,5p,307p2334567899s|3p
1,3,8,5p,307p2334567899s|6s
1,3,7,7s,1234578m1155p67s|5m
1,3,7,2m,78m2345689p2305s|7p
1,3,9,3s,446p12345679s22z|7p
1,1,7,4z,11357m230679p79s|4m
1,1,7,4z,11357m230679p79s|9p
1,1,7,5m,0m22345789p2446s|1p
1,1,5,3s,1223p3346699s77z|3p
1,1,5,3s,2334p3346799s77z|0p
1,1,5,3s,2334p3346899s77z|4p
1,1,4,3m,34558899m89p33s3z|3m
1,3,7,9m,23447788m89p33s4z|3m
1,1,3,2p,3340m4p22405699s|4p
1,3,6,1p,2306999p666789s|4p
1,3,6,1p,4057999p666678s|6p
1,3,6,1p,45p23345566677s|6p
1,3,6,1m,456m2233p230667s|4s
1,3,6,8m,345m0p234056799s|9s
1,3,6,1s,34456789m56p456s|2m
1,3,7,6s,33m334568p40s|6s|7_77z
1,3,7,2s,44m445679p06s777z|7s
1,1,7,4p,11m23344p307999s|0p
1,3,5,1s,66789m4478p3567s|6p
1,3,5,1s,66789m4478p2456s|9p
1,3,5,7z,123357p2345789s|3p
1,3,5,1s,230m45679p12366s|4m
1,3,5,1s,230m45679p12366s|1m
1,3,5,1p,23456m12067p567s|3m
1,3,5,2p,334788m34678p13s|0s
1,3,3,4s,24m3406p1113579s|2m
1,3,5,7m,57788m07p123455s|3p
1,3,7,4z,34468m113688p67s|7m
1,1,5,3m,3467m1368p667s77z|5m
1,1,5,3m,3467m1358p667s77z|8s
1,3,4,2p,23477m4668p2307s|8s
1,1,4,5p,3388m3566p23077s|6m
1,3,4,1m,234m27778p22468s|8s
1,1,7,1p,066778m1246p678s|5s
1,1,7,1p,066778m1246p678s|9s
1,1,7,1p,440678899m45p67s|7m
1,3,4,7s,33456m1267p79s77z|8p
1,3,4,7s,33456m1267p1377s|8p
1,3,3,3m,33499m566p34589s|7p
1,1,4,7p,456m23467p11288s|7m
1,1,7,7p,456m23467p11266s|7m
1,3,5,3p,468m055667p1288s|4p
1,1,5,4z,0679m3457p11678s|9s
1,1,5,4z,0679m3457p11267s|9s
1,1,5,4z,0679m3457p11167s|9s
1,1,2,4z,167m15p579s44777z|6s
1,1,2,4z,1566m25p57s44777z|6s
1,1,2,4z,455m26p278s55777z|6s
1,1,8,4z,2340m4568p12366s|8s
1,1,8,4z,2340m4568p12366s|2s
1,1,8,4z,2340m4568p12366s|4s
1,1,5,2p,22237m3788p2346s|6s
1,1,5,2p,22237m3788p2346s|7s
1,1,5,3p,1147m44678p3789s|9p
1,3,7,7z,399m234p2223s777z|3p
1,3,7,9s,399m234p2223999s|3p
1,1,3,7s,24457m11356p268s|2p
1,1,3,4z,24678m24088p279s|6p
1,1,3,4z,24678m24099p279s|3m
1,1,3,4z,24678m24079p279s|3m
1,3,5,2m,34667m3468p1389s|7p
1,3,5,2m,34667m3468p1389s|8m
1,3,5,2m,34667m3468p1399s|8m
1,3,5,4m,35m2346677p5688s|4m
1,3,5,3m,35m1237788p4688s|4m
1,3,5,2m,357m1237788p668s|4m
1,3,4,5s,23677m1168p1230s|7s
1,3,4,5s,23677m67p123088s|7s
1,1,7,6s,45m1156799p5678s|8s
1,1,4,4m,3488m2367p56778s|8s
1,1,4,4p,2468m3499p34677s|7m
1,1,4,3p,2468m2399p23677s|3m
1,1,8,1p,3478m34406p3357s|7s
1,2,7,6m,235667m34467p05s|6m
1,3,7,4z,2367m3444p23467s|5m
1,1,4,4z,23346m4566p3566s|7s
1,1,4,4z,3445668m3346p56s|7p
1,1,4,4z,3445668m2235p78s|6p
1,1,5,1m,30778m238999p34s|6m
1,1,5,1m,07m999p136899s11z|6m
1,1,5,1m,7m34999p46899s11z|6m
1,1,4,6m,22366m13456p246s|8s
1,1,4,6m,22366m13456p130s|7s
1,1,4,6m,22366m12346p135s|7s
1,3,4,3s,135889m357p4567s|6p
1,3,6,3s,34589m3567p3466s|4m
1,1,7,9m,589m2345p223678s|9m
1,3,7,2p,222556m556p2367s|7s
1,3,7,2p,222556m556p4788s|8s
1,1,4,4z,2377m134566p120s|7s
1,3,3,7s,06m13446679p579s|1p
1,1,3,2s,11168m45668p234s|0s
1,1,7,4z,12377p33067799s|4s
1,1,7,4z,123779p3306779s|4s
